City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,darwin,-12.4611,130.8418,305.9,70,75,2.06,AU,1732929242
338,colonia,50.9333,6.95,276.46,81,0,3.6,DE,1732929045
339,neon karlovasion,37.7903,26.7044,288.65,87,29,4.66,GR,1732929245
340,beyneu,45.3167,55.2,274.83,89,38,3.03,KZ,1732929248
341,brush,40.2589,-103.6238,275.09,46,75,1.26,US,1732929249
342,banyo,6.75,11.8167,291.13,49,5,1.24,CM,1732929250
343,bokhan,53.153,103.7714,264.07,98,100,1.18,RU,1732929251
344,santa marta de ortigueira,43.6833,-7.85,287.04,85,63,2.48,ES,1732929252
345,lompoc,34.6391,-120.4579,290.33,67,0,1.34,US,1732929254
346,susuman,62.7833,148.1667,254.21,97,100,1.22,RU,1732929255
347,yichun,47.7,128.9,261.12,86,100,2.52,CN,1732929256
348,katsuren-haebaru,26.3369,127.8719,293.37,52,20,4.12,JP,1732929257
349,salekhard,66.53,66.6019,266.52,96,100,4.84,RU,1732928982
350,juan griego,11.0817,-63.9655,299.33,88,91,4.94,VE,1732929260
351,egilsstadir,65.2653,-14.3948,270.1,93,100,8.23,IS,1732929261
352,alaghsas,17.0187,8.0168,290.88,20,16,6.66,NE,1732929262
353,kunashak,55.7032,61.5498,266.53,87,33,3.31,RU,1732929263
354,qamdo,31.1667,97.2333,265.59,42,0,1.03,CN,1732929200
355,howrah,22.5892,88.3103,295.15,68,75,2.57,IN,1732929267
356,porto novo,6.4965,2.6036,298.52,74,100,0.42,BJ,1732929132
357,vikulovo,56.8167,70.6107,260.15,97,12,0.73,RU,1732929269
358,shengli,37.4564,118.4856,280.53,45,0,3.24,CN,1732929270
359,pristina,42.6727,21.1669,275.47,86,75,1.54,XK,1732929086
360,springbok,-29.6643,17.8865,289.4,32,0,1.5,ZA,1732929272
